	cluster	instances	deposits	length
166	['LMU']	254	30	1
167	['TGL']	254	44	1
168	['C2E']	252	95	1
169	['CPS']	252	78	1
170	['PEK']	252	45	1
171	['AZG', '290', 'IGA', 'AZA', '6AP', 'XAN', '9DG', 'A2F', 'GUN']	252	131	9
172	['2PE']	251	132	1
173	['N8E', 'PE4']	249	147	2
174	['TWT', 'P4C', 'P33']	245	122	3
175	['MET']	244	158	1
176	['PL9']	239	60	1
177	['MGD']	232	46	1
178	['BPH']	230	102	1
179	['N1L', 'GUF', 'BDP']	230	60	3
180	['BUD', 'BU3', 'BU9']	229	76	3
181	['AE4', 'PG6', '8K6']	228	86	3
182	['DE1', 'TOE', 'UND', 'P4G', '8YP', '37Z']	224	108	6
183	['UQ', 'U10']	223	120	2
184	['UPG', 'U2F', 'UFG', 'C5G', '660']	219	115	5
185	['SSP', 'HED']	218	175	2
186	['B12']	216	91	1
187	['CYX', 'PGH', '129', '13P']	214	79	4
188	['BCN']	211	91	1
189	['83O', 'HIS']	209	99	2
190	['1LD', 'URF', '3N8', '4ZE', '1MC', 'MCT', '51S', '7DV', 'XYD', 'XBZ', 'MWM', 'PYD', '17E', '275', 'N0D', '2MP', '9AY', 'HQN', '2AC', '34A', 'A1U', 'TDR', '4HO', 'WBU']	209	67	24
191	['THP']	209	199	1
192	['FDA']	207	86	1
193	['B3P']	204	121	1
194	['BTL', '33D', 'CHT', 'TBF']	203	50	4
195	['AHR']	202	45	1
196	['2CV']	200	35	1
197	['P3G', '1EY', '1EX', '1PG', 'BOM', 'B7M', 'B8M', 'PL3', 'D22']	199	100	9
198	['TYD']	197	81	1
199	['8PJ', 'SAL', 'ES6', '3SK', '3U4', '4SV', 'VNJ', 'IP0', 'OHB', 'OPO', 'CG3', 'BE2', '2AE']	196	80	13
200	['MMA']	195	70	1
201	['DFR', 'FRU']	195	67	2
202	['DRE', 'MYS', 'P03', 'M21']	195	65	4
203	['LAT', '2FL']	194	90	2
204	['CY3', 'CYS']	193	109	2
205	['CVM']	192	10	1
206	['APR', 'R5I']	189	80	2
207	['DMA', 'IPE', 'DED', 'IPR']	189	83	4
208	['15P']	189	78	1
209	['CXS', 'IJ6']	187	81	2
210	['MTX', 'MT1']	184	71	2
211	['RER']	184	11	1
212	['ADA']	184	38	1
213	['C2O', 'FEO']	182	75	2
214	['L2P']	181	58	1
215	['3LJ', 'G6P', 'GLP']	180	65	3
216	['TYC', 'TYR', 'TYF', 'PFF']	180	80	4
217	['CUA']	179	100	1
218	['A3P']	179	101	1
219	['HNI', 'ZNH', 'HEB', 'CCH', 'HES', 'COH']	179	81	6
220	['PRP', '3R3', 'PCP', 'PPC']	178	84	4
221	['SFL', 'CQ4', 'VO4']	177	98	3
222	['18B', 'M1V', 'BLA']	173	70	3
223	['78N']	172	22	1
224	['FBP']	168	53	1
225	['F6P']	168	104	1
226	['CE1', 'PQE', '12P']	167	86	3
227	['WO4', 'PEJ', 'WO6', 'REO', '6B6']	167	64	5
228	['XAT']	165	17	1
229	['SFG']	163	85	1
230	['UDM', 'UD1']	162	80	2
231	['INO', 'JLZ', '4NC', 'DHB', 'MYJ', '2HO', 'NNO', '4A3', '0WV', '93K', 'FHB', '3HM', 'YTP']	162	57	13
232	['PTY']	161	40	1
233	['PA2', 'DDA', 'TOB']	160	9	3
234	['GSP']	159	94	1
235	['ACB', 'SRT', 'BH2', '999']	159	65	4
236	['CPL', 'PSC', '6PL']	158	63	3
237	['HDD']	157	41	1
238	['TAM']	157	108	1
239	['VR', 'PGA', 'X1S', '3PP', 'ASZ']	156	71	5
240	['3BV']	156	28	1
241	['B86', '0DN', 'MCY', 'THM', '5MD']	154	44	5
242	['PE3']	152	46	1
243	['IHP', 'IHS']	152	87	2
244	['MTE']	146	53	1
245	['COI', 'CIZ', 'CMS', '40E', 'MF8', '2KZ', 'MEZ', 'CRN', 'ITN', 'IOM', 'OAA', 'DYA']	146	82	12
246	['AS8', 'SAT', 'ISP', '7VD', 'CP', 'PCT', 'PAE', 'UVW']	145	63	8
247	['6V6']	145	2	1
248	['OLB', '3XQ']	144	46	2
249	['KDO']	144	59	1
250	['3X1', '2TD', 'GEY', 'DAO']	144	73	4
251	['MTA', 'MTH', 'MTI']	144	62	3
252	['AW5', '34D', 'ORO']	142	107	3
253	['FCO']	142	64	1
254	['PE5', '32M']	142	60	2
255	['BAL', 'BUQ', 'EEE', 'PNH', 'SAR', 'EGD', 'BMD', 'N1P', 'FK2', 'AOA', 'LEN', '3OH', 'BEO', 'BUA', '01F']	142	76	15
256	['HTO']	141	58	1
257	['AKB', 'DVA', 'VAL']	141	95	3
258	['DZF', 'FOL', '04J']	141	77	3
259	['CRT']	139	8	1
260	['CTD', 'CTN', '5AE', 'URI']	139	53	4
261	['BO2']	139	25	1
262	['LI', '0BE']	138	83	2
263	['M2M', 'P24', 'OYA', 'DD9', 'OC9', 'NSD', 'AE3', 'FKZ']	138	91	8
264	['DUR', 'DCZ']	138	29	2
265	['MLC', 'IVC', 'CAA']	136	46	3
266	['EMC', 'ETI']	134	28	2
267	['5AD', 'NRN']	134	50	2
268	['UMQ', '6UZ']	134	32	2
269	['U63', 'CBI']	133	72	2
270	['HG3', '3PG']	131	75	2
271	['SSN', 'LEA', 'DIB', 'BUB', 'ABU', '4PA']	129	60	6
272	['8MK', 'PPT', 'SGI', 'HC4', 'XJ0', '8MB', 'P81', 'AHC', 'HPP', 'BKZ']	127	94	10
273	['04C']	126	21	1
274	['STU']	126	84	1
275	['FTT']	126	19	1
276	['2AN']	124	19	1
277	['NUP', 'U6M', 'BMP']	123	58	3
278	['NEX']	121	16	1
279	['PEV']	121	7	1
280	['XPO', '2HE', '57H', 'POA', '8X3', 'VX', 'EFS', 'TAU', 'P7I', 'TCX']	119	53	10
281	['TRE']	118	65	1
282	['TCL']	117	33	1
283	['MYA']	116	75	1
284	['HCA']	115	51	1
285	['N2H', 'HPN', 'ACA', 'MHN', 'SHV', 'CL5', 'KQY', 'AG2', 'N6C']	115	59	9
286	['0RJ', 'ORN', 'CAN', 'NLE', 'AMB']	114	41	5
287	['MBO']	114	76	1
288	['GDU', 'URM', 'UPF']	114	49	3
289	['ALO', 'THR']	113	40	2
290	['P5S', '17F']	109	11	2
291	['CAM']	108	73	1
292	['R7I', 'ADV', 'AR6']	106	63	3
293	['AP5']	106	63	1
294	['CLF']	105	46	1
295	['PEF']	105	21	1
296	['CFF']	104	32	1
297	['SEP', 'PPQ', 'OSE', 'OMT', 'HJT', 'E7P', 'MSL']	103	34	7
298	['HBX', 'SYN', '282', '010', 'PYJ', 'ABN', 'JH4', 'PY7', 'APY', 'PHZ', 'UFZ', '1MR', 'PYF', 'NBE']	103	60	14
299	['XLS', 'XYL']	103	47	2
300	['PNS']	102	50	1
301	['NPB', 'PD2', '8G0', 'NIN', 'PDC']	102	38	5
302	['CM5']	102	33	1
303	['DGL', 'DGN', '2HG', 'ZGL', 'E5N', 'FGA']	101	52	6
304	['CUO']	100	4	1
305	['CB3']	100	39	1
306	['PLG', 'LLF']	99	37	2
307	['2H8', 'G39', '0HX']	99	40	3
308	['1GP', 'G3H']	99	46	2
309	['NMN', 'NCN']	98	50	2
310	['PIO']	97	33	1
311	['LLL']	97	11	1
312	['ACR']	96	42	1
313	['7PG', 'CXE']	96	15	2
314	['CVW', 'SRO']	96	18	2
315	['SRM']	95	53	1
316	['NIC', 'ICT']	94	46	2
317	['54O', 'CCP', 'A20', 'OPE', 'EAP']	94	21	5
318	['IPT']	94	22	1
319	['KAI']	91	43	1
320	['PE8']	90	50	1
321	['PQN']	89	31	1
322	['GNS', 'ALX', 'Z4K']	89	12	3
323	['GP9', 'G3P', 'PSE']	88	46	3
324	['LEE', 'GTX']	88	40	2
325	['MGM', 'BUE', 'GRG']	88	25	3
326	['5HN', '53B', '3AO', '53C', '8GC', '3NT', 'ZCQ', '3AB', 'APB', '3HB', 'GAB']	87	43	11
327	['GPM', 'GFP', 'GP1', 'L1L', 'JV4', 'G1P']	87	41	6
328	['FDP']	86	21	1
329	['BRJ', '3BR']	86	7	2
330	['D5M', 'DA', 'DI']	86	28	3
331	['KAN', 'KNC', '9CS']	84	30	3
332	['SEY']	82	9	1
333	['PC', 'NSB']	82	41	2
334	['EST']	81	43	1
335	['GUP', 'MFU']	81	21	2
336	['QUE']	80	29	1
337	['MA4']	80	41	1
338	['BHO', 'HXT', 'WM4', 'CFI', 'NIZ', 'ISZ', 'I1E', '8RY']	80	36	8
339	['017']	80	69	1
340	['1PS', 'JFM', '171']	80	29	3
341	['P3S', 'P3P']	79	11	2
342	['RES', '5RP']	79	30	2
343	['MTN']	79	38	1
344	['THJ']	79	29	1
345	['DAN', '9AM', '4AM', '49A']	79	52	4
346	['AGP', 'G6Q', 'S6P']	79	35	3
347	['MOO']	79	37	1
348	['RBF']	78	40	1
349	['IMT', 'PYB']	78	10	2
350	['PCG', '35G']	78	32	2
351	['COM']	78	35	1
352	['LAX', 'VA', 'EPA', 'ACD', 'DCR']	77	35	5
353	['1AN', 'L89', '93Q', '51V', '8LG', 'D4V', 'OXE', '76X', 'CAQ', 'JZ0', '2AF', 'FP2']	77	35	12
354	['I3C']	77	22	1
355	['ASO', 'NOY', 'NOJ']	77	38	3
356	['1MZ', '2MZ', '4PZ', '5MP', 'HOW', 'MR3', '2AI', '3AX', '3TR', '4MZ']	77	32	10
357	['O4B']	77	26	1
358	['BB2']	77	35	1
359	['INI']	76	8	1
360	['9CR', 'REA']	76	45	2
361	['TD6']	75	11	1
362	['CBS']	75	30	1
363	['LBT']	75	37	1
364	['FNR']	75	34	1
365	['D1D']	75	54	1
366	['GLO', 'SOR']	74	36	2
367	['I3P']	74	37	1
368	['AZM']	74	32	1
369	['ILE']	74	34	1
370	['THH', 'C2F']	73	33	2
371	['ZK1']	73	19	1
372	['TA1']	73	56	1
373	['2GP']	73	41	1
374	['289']	73	2	1
375	['AAL']	73	11	1
376	['ETF']	73	28	1
377	['MBR']	72	9	1
378	['NGQ', 'NLG', 'HCT', 'NLQ']	72	26	4
379	['FSW']	72	1	1
380	['P1T', 'FOO', '0JO', 'AN7']	71	31	4
381	['0G6']	71	55	1
382	['IMG', '4UO', '2FA', 'GMP']	71	39	4
383	['INS']	71	35	1
384	['GPP', '3AG']	70	31	2
385	['DXC']	70	31	1
386	['KSV']	70	1	1
387	['4ZY', '4VP', 'FBA', '4KS', 'HBA', 'ETY']	69	25	6
388	['BZI', '36N', 'BZF', 'MPI', 'GVH', 'LZ1', 'PZR', '0R1', 'IND', '4JP', '0CT']	69	38	11
389	['TFP']	67	7	1
390	['RIB']	67	25	1
391	['EL5', 'LBV']	67	41	2
392	['DCT']	67	45	1
393	['UOC', 'GC7', 'DKA']	66	30	3
394	['BES']	66	28	1
395	['EF2']	66	20	1
396	['L3P']	66	17	1
397	['R5P', 'R52']	65	18	2
398	['PIV', 'TAY', 'PVO', 'AIB', 'TFA']	65	38	5
399	['SGM']	65	34	1
400	['DST', 'ISY']	65	34	2
401	['5LD']	65	6	1
402	['AUC']	65	8	1
403	['G7P', 'CAK', 'BG6', '4R1']	64	34	4
404	['PQQ']	64	31	1
405	['FME']	63	54	1
406	['BEM']	63	21	1
407	['AMZ', 'PFU', 'C2R', 'MZP', 'NIA']	63	30	5
408	['ZDC']	63	21	1
409	['SLB', 'SLM']	63	35	2
410	['G4S']	63	12	1
411	['B85', 'PMF', 'HPS', 'PMS', 'SYC']	63	34	5
412	['FPP']	62	49	1
413	['SMA']	62	24	1
414	['Q3C', 'QUI', '4K8', 'E1T', '7N7', '2UP', 'FIV', 'QNC']	62	24	8
415	['MH6', '3PY', '2KT', '6R3', 'EMM', 'MB8', 'KG7', '65S']	62	31	8
416	['UDX', 'CXY']	62	10	2
417	['PEZ', '2PG', 'XSP']	62	35	3
418	['GMH']	62	21	1
419	['AMG']	62	17	1
420	['PLR']	61	23	1
421	['TSR', '2NZ', 'IAC', 'IDL', 'NVU']	61	27	5
422	['CLM']	61	22	1
423	['BET']	61	26	1
424	['RE2', 'STL']	61	26	2
425	['9Y0', 'EPH']	61	39	2
426	['PLX']	60	7	1
427	['NXL']	60	28	1
428	['KC1', 'KC2']	60	4	2
429	['CHH', 'NM2', 'CCE', 'REE', 'ACH']	60	16	5
430	['09R']	60	2	1
431	['BU2', 'JFN', 'BU4', '5KO']	59	18	4
432	['BPB']	59	29	1
433	['JHM', 'D6G']	59	3	2
434	['NHW']	59	21	1
435	['3PO', 'PPK']	59	33	2
436	['GXL']	59	4	1
437	['271', '16Q', 'HY1', 'PEA', 'FAN', '3H0', 'OBZ', 'PEL', 'BJN', '45X']	59	37	10
438	['LDP', '975']	59	15	2
439	['BCD']	58	28	1
440	['YYY', 'FUP', 'DUD', 'UC5', 'DUN']	58	26	5
441	['1LM', 'Q8A', '5SG', '5Q0', '4YS', '1NP', '1SQ', '1LQ', '5IQ', 'N5J', 'JPZ', 'HQY', 'ES1']	57	30	13
442	['SKM']	57	36	1
443	['HBI']	57	25	1
444	['MOS']	57	30	1
445	['MGT']	57	29	1
446	['9B7', '2BA']	57	34	2
447	['XIZ', 'NS8', '8UA', 'PO6', 'TCA', 'J0Z', 'HCI', 'PBA', 'DH6', 'FK8']	57	27	10
448	['DBB', '03W', 'A3B', 'DSN', '2RA', 'HIU', 'DGY']	57	30	7
449	['DTU']	56	40	1
450	['7D1', 'AZF', '7LQ', 'DGO', 'IFM', 'OXZ']	56	33	6
451	['GD1', 'PRF', 'HNG']	56	24	3
452	['ASC', 'UU3']	56	38	2
453	['NM6', 'AMU']	56	19	2
454	['B3N']	56	20	1
455	['BGL']	56	12	1
456	['GUZ', 'GCU']	56	31	2
457	['DTD']	56	38	1
458	['FPS']	56	21	1
459	['MLR']	56	30	1
460	['CTT']	55	28	1
461	['L60', '2IM', 'HAI', 'V1L', 'CXL', 'CYH', 'A2Q']	55	24	7
462	['UPL']	55	4	1
463	['EQU']	55	21	1
464	['G4P']	55	26	1
465	['NGY', '16G']	54	18	2
466	['NCT']	54	12	1
467	['B7G']	54	26	1
468	['3M0', '3HA', 'DBH', 'G5Y', 'DB1', '1CW', '3F0']	54	22	7
469	['QUJ', 'QVE']	53	13	2
470	['DA1', 'PCR', 'DS1', 'LG4', '25R', 'PXY', 'HQE', '4MN', 'CVG', 'FPN', 'DJP', '4NL']	53	31	12
471	['SOG']	53	18	1
472	['S4M']	53	16	1
473	['1IP', '6PR', 'PAL']	52	21	3
474	['81P', '4BZ', 'PND', '4AZ', 'BPN', '4FZ', '8ZX', 'EGM', 'XXH', 'PNZ', 'ANN']	52	30	11
475	['DHS', 'GCD']	52	24	2
476	['PAN', 'F6R', '9C2']	52	23	3
477	['ZMR']	52	23	1
478	['UGA']	51	12	1
479	['FC6']	51	16	1
480	['DFU', 'RIP']	51	35	2
481	['DDF', 'THG']	51	34	2
482	['3W8', 'AES', '4JE', 'ZYX', 'S2O']	51	24	5
483	['011', 'OCA', 'JRY']	51	27	3
484	['HCS']	51	27	1
485	['MTT']	51	29	1
486	['PID']	50	7	1
487	['ASD', 'ANB']	50	25	2
488	['2AG', 'HSE', 'NVA', 'DAB']	50	29	4
489	['G4F', 'GDD']	50	20	2
490	['KLW', 'PHT', 'NTM']	50	19	3
491	['YEG', '1CB', 'SBE', 'MFW', 'GBL', 'BAQ']	50	17	6
492	['TP7']	50	24	1
493	['MAG']	50	21	1
494	['FK5']	49	29	1
495	['OSM']	49	16	1
496	['DIF']	49	19	1
497	['FA1']	49	4	1
